"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"`P2757R3 <https://wg21.link/P2757R3>`__","Type-checking format args","2023-06 (Varna)","","","`#105378 <https://github.com/llvm/llvm-project/issues/105378>`__",""
"`P2637R3 <https://wg21.link/P2637R3>`__","Member ``visit``","2023-06 (Varna)","|Complete|","19","`#105380 <https://github.com/llvm/llvm-project/issues/105380>`__","Change of ``__cpp_lib_variant`` is completed in LLVM 20. Change of ``__cpp_lib_format`` is blocked by `P2419R2 <https://wg21.link/P2419R2>`__."
"`P2641R4 <https://wg21.link/P2641R4>`__","Checking if a ``union`` alternative is active","2023-06 (Varna)","|Complete|","22","`#105381 <https://github.com/llvm/llvm-project/issues/105381>`__",""
"`P1759R6 <https://wg21.link/P1759R6>`__","Native handles and file streams","2023-06 (Varna)","|Complete|","18","`#105382 <https://github.com/llvm/llvm-project/issues/105382>`__",""
"`P2697R1 <https://wg21.link/P2697R1>`__","Interfacing ``bitset`` with ``string_view``","2023-06 (Varna)","|Complete|","18","`#105384 <https://github.com/llvm/llvm-project/issues/105384>`__",""
"`P1383R2 <https://wg21.link/P1383R2>`__","More ``constexpr`` for ``<cmath>`` and ``<complex>``","2023-06 (Varna)","|Partial|","","`#105385 <https://github.com/llvm/llvm-project/issues/105385>`__","``<complex>`` done (``__cpp_lib_constexpr_complex`` 202306L). ``<cmath>``/``<cstdlib>`` scalar functions are **compiler-blocked**: this Clang's constant evaluator (``ExprConstant.cpp``) only folds ``fabs``/``fmin``/``fmax``/``copysign``/``nan``/integer ``abs``/``labs``/``llabs``; ``sqrt``/``pow``/``floor``/``ceil``/``trunc``/``round``/``fmod``/``exp``/``log``/trig functions all hard-error under constant evaluation (empirically verified). Also gated behind the C++23 prerequisite P0533R9 (``Cxx23Papers.csv``), itself only ``|In Progress|`` (just the ``isfinite``/``isinf``/``isnan``/``isnormal`` classification functions, which don't need builtin folding). Not scope-excluded; revisit if this fork's constant evaluator ever gains the missing builtins upstream."
"`P2734R0 <https://wg21.link/P2734R0>`__","Adding the new SI prefixes","2023-06 (Varna)","|Complete|","17","`#105386 <https://github.com/llvm/llvm-project/issues/105386>`__",""
"`P2548R6 <https://wg21.link/P2548R6>`__","``copyable_function``","2023-06 (Varna)","|Complete|","","`#105387 <https://github.com/llvm/llvm-project/issues/105387>`__",""
"`P2714R1 <https://wg21.link/P2714R1>`__","Bind front and back to NTTP callables","2023-06 (Varna)","|Partial|","20","`#105388 <https://github.com/llvm/llvm-project/issues/105388>`__",""
"`P2630R4 <https://wg21.link/P2630R4>`__","``submdspan``","2023-06 (Varna)","","","`#105389 <https://github.com/llvm/llvm-project/issues/105389>`__",""
"","","","","","",""
"`P0543R3 <https://wg21.link/P0543R3>`__","Saturation arithmetic","2023-11 (Kona)","|Complete|","18","`#105390 <https://github.com/llvm/llvm-project/issues/105390>`__",""
"`P2407R5 <https://wg21.link/P2407R5>`__","Freestanding Library: Partial Classes","2023-11 (Kona)","","","`#105391 <https://github.com/llvm/llvm-project/issues/105391>`__",""
"`P2546R5 <https://wg21.link/P2546R5>`__","Debugging Support","2023-11 (Kona)","|Complete|","","`#105392 <https://github.com/llvm/llvm-project/issues/105392>`__",""
"`P2905R2 <https://wg21.link/P2905R2>`__","Runtime format strings","2023-11 (Kona)","|Complete|","18","`#105393 <https://github.com/llvm/llvm-project/issues/105393>`__",""
"`P2918R2 <https://wg21.link/P2918R2>`__","Runtime format strings II","2023-11 (Kona)","|Complete|","18","`#105394 <https://github.com/llvm/llvm-project/issues/105394>`__",""
"`P2909R4 <https://wg21.link/P2909R4>`__","Fix formatting of code units as integers (Dude, where’s my ``char``?)","2023-11 (Kona)","|Complete|","18","`#105395 <https://github.com/llvm/llvm-project/issues/105395>`__",""
"`P0952R2 <https://wg21.link/P0952R2>`__","A new specification for ``std::generate_canonical``","2023-11 (Kona)","|Complete|","","`#105396 <https://github.com/llvm/llvm-project/issues/105396>`__",""
"`P2447R6 <https://wg21.link/P2447R6>`__","``std::span`` over an initializer list","2023-11 (Kona)","|Complete|","18","`#105397 <https://github.com/llvm/llvm-project/issues/105397>`__",""
"`P2821R5 <https://wg21.link/P2821R5>`__","``span.at()``","2023-11 (Kona)","|Complete|","18","`#105399 <https://github.com/llvm/llvm-project/issues/105399>`__",""
"`P2868R3 <https://wg21.link/P2868R3>`__","Remove Deprecated ``std::allocator`` Typedef From C++26","2023-11 (Kona)","|Complete|","18","`#105400 <https://github.com/llvm/llvm-project/issues/105400>`__",""
"`P2870R3 <https://wg21.link/P2870R3>`__","Remove ``basic_string::reserve()`` From C++26","2023-11 (Kona)","|Complete|","18","`#105401 <https://github.com/llvm/llvm-project/issues/105401>`__",""
"`P2871R3 <https://wg21.link/P2871R3>`__","Remove Deprecated Unicode Conversion Facets from C++26","2023-11 (Kona)","|Complete|","18","`#105402 <https://github.com/llvm/llvm-project/issues/105402>`__",""
"`P2819R2 <https://wg21.link/P2819R2>`__","Add tuple protocol to complex","2023-11 (Kona)","|Complete|","19","`#105403 <https://github.com/llvm/llvm-project/issues/105403>`__",""
"`P2937R0 <https://wg21.link/P2937R0>`__","Freestanding: Remove ``strtok``","2023-11 (Kona)","","","`#105404 <https://github.com/llvm/llvm-project/issues/105404>`__",""
"`P2833R2 <https://wg21.link/P2833R2>`__","Freestanding Library: inout expected span","2023-11 (Kona)","","","`#105405 <https://github.com/llvm/llvm-project/issues/105405>`__",""
"`P2836R1 <https://wg21.link/P2836R1>`__","``std::basic_const_iterator`` should follow its underlying type's convertibility","2023-11 (Kona)","","","`#105406 <https://github.com/llvm/llvm-project/issues/105406>`__",""
"`P2264R7 <https://wg21.link/P2264R7>`__","Make ``assert()`` macro user friendly for C and C++","2023-11 (Kona)","|Nothing To Do|","","`#105407 <https://github.com/llvm/llvm-project/issues/105407>`__","libc++'s ``<cassert>`` never defines ``assert`` itself -- it forwards to the platform's ``<assert.h>``, per the header's own comment (``<assert.h> is not provided by libc++``). This paper's variadic-macro requirement is satisfied transitively by the system C library; confirmed against glibc 2.44's ``/usr/include/assert.h`` (already guarded ``#if __ASSERT_VARIADIC`` for C++/GNU-extension builds) and by compiling a comma-containing ``assert(std::is_same<int,int>::value)`` with no extra parens."
"`P1673R13 <https://wg21.link/P1673R13>`__","A free function linear algebra interface based on the BLAS","2023-11 (Kona)","|Partial|","","`#105408 <https://github.com/llvm/llvm-project/issues/105408>`__","Audited 2026-08-24: the 3150-line implementation with 17 pre-existing passing tests was **not** stale-but-fine as the blank CSV status suggested. Mechanical name-set diff of every function/type in ``libcxx/include/linalg`` against ``[linalg.syn]`` on eel.is found the declared API surface complete (the one apparent miss, ``triangular_matrix_vector_2x2_product``, is a worked example inside a Note, not a real overload). But every algorithm's template parameters in the current draft are concept-constrained (``template<in-matrix InMat, in-vector InVec, out-vector OutVec>``); this fork instead used fully-decomposed ``mdspan<ElementType, Extents, Layout, Accessor>`` parameters with ``static_assert``-only rank/writability checks, so a wrong-rank or non-writable-output call was a hard compile error deep in the body rather than a SFINAE-visible exclusion from the overload set (confirmed via a throwaway probe before fixing). Added the 11 ``[linalg.helpers.concepts]`` exposition-only concepts and retrofitted trailing ``requires``-clauses across ~90 function definitions (BLAS 1 through BLAS 3), landed in 6 commits, each verified against the full ``linalg/`` suite. Deliberately left ``copy``/``scale``/``add``/``swap_elements`` unconstrained: the standard's ``in-object``/``out-object`` concepts exclude rank-0 mdspans, but this fork's ``copy()``/``add()`` (and by the same shape ``scale()``/``swap_elements()``) intentionally and testedly accept rank 0 too (``execution_policies.pass.cpp``'s ``test_add_ranks()``) -- applying the literal concept would regress that. ``|Partial|`` (not ``|Complete|``): the live draft's ``__cpp_lib_linalg`` value is ``202511L``, not this fork's ``202311L``. Traced the full chain of what moved it via ``cplusplus/draft`` commit history: ``202311L`` (P1673R13 itself) -> ``202411L`` (P3222R0, transposed special cases for P2642 padded layouts) -> ``202412L`` (P3050R2, already ``|Complete|`` above) -> ``202511L`` (P3371R5, now ``|Complete|``, see its own row). P3222R0 is the one unresolved link: it is genuinely blocked on P2642R6/``std::constant_wrapper``, same as mdspan ``submdspan``/padded layouts (see ``docs/CXX26_GAPS.md``'s mdspan sub-plan) -- so the FTM cannot honestly advance past ``202311L`` until that chain unblocks, independent of how complete P1673R13's own implementation is. (A full member-by-member prose audit of every function's Preconditions/Effects/Complexity against the standard wording was also not undertaken this session -- ~90 functions; the 17 pre-existing tests, the mechanical name-set diff, a SFINAE-discrimination test (``helper_concepts.pass.cpp``), and P3371R5's real-if-needed fix are real evidence of correctness but not an exhaustive audit. This is an unverified area, not a known defect, and isn't why the status is ``|Partial|`` -- the FTM/P3222R0 blocker above is.) See ``docs/CXX26_GAPS.md`` Tier 3 for the full writeup."
"","","","","","",""
"`P2875R4 <https://wg21.link/P2875R4>`__","Undeprecate ``polymorphic_allocator::destroy`` for C++26","2024-03 (Tokyo)","|Complete|","15","`#105410 <https://github.com/llvm/llvm-project/issues/105410>`__",""
"`P2867R2 <https://wg21.link/P2867R2>`__","Remove Deprecated ``strstreams`` From C++26","2024-03 (Tokyo)","|Complete|","19","`#105411 <https://github.com/llvm/llvm-project/issues/105411>`__",""
"`P2869R4 <https://wg21.link/P2869R4>`__","Remove Deprecated ``shared_ptr`` Atomic Access APIs from C++26","2024-03 (Tokyo)","|Complete|","","`#105412 <https://github.com/llvm/llvm-project/issues/105412>`__",""
"`P2872R3 <https://wg21.link/P2872R3>`__","Remove ``wstring_convert`` From C++26","2024-03 (Tokyo)","|Complete|","19","`#105413 <https://github.com/llvm/llvm-project/issues/105413>`__",""
"`P3107R5 <https://wg21.link/P3107R5>`__","Permit an efficient implementation of ``std::print``","2024-03 (Tokyo)","","","`#105414 <https://github.com/llvm/llvm-project/issues/105414>`__",""
"`P3142R0 <https://wg21.link/P3142R0>`__","Printing Blank Lines with ``println``","2024-03 (Tokyo)","|Complete|","19","`#105415 <https://github.com/llvm/llvm-project/issues/105415>`__","Implemented as a DR against C++23. (MSVC STL and libstdc++ will do the same.)"
"`P2845R8 <https://wg21.link/P2845R8>`__","Formatting of ``std::filesystem::path``","2024-03 (Tokyo)","|Complete|","","`#105416 <https://github.com/llvm/llvm-project/issues/105416>`__",""
"`P0493R5 <https://wg21.link/P0493R5>`__","Atomic minimum/maximum","2024-03 (Tokyo)","|Complete|","","`#105418 <https://github.com/llvm/llvm-project/issues/105418>`__",""
"`P2542R8 <https://wg21.link/P2542R8>`__","``views::concat``","2024-03 (Tokyo)","|Complete|","","`#105419 <https://github.com/llvm/llvm-project/issues/105419>`__",""
"`P2591R5 <https://wg21.link/P2591R5>`__","Concatenation of strings and string views","2024-03 (Tokyo)","|Complete|","19","`#105420 <https://github.com/llvm/llvm-project/issues/105420>`__",""
"`P2248R8 <https://wg21.link/P2248R8>`__","Enabling list-initialization for algorithms","2024-03 (Tokyo)","|Complete|","","`#105421 <https://github.com/llvm/llvm-project/issues/105421>`__","Every signature the paper touches that exists in this fork has the defaulted value-type parameter: the classic non-range algorithms (including their ``ExecutionPolicy`` overloads), the 5 container ``erase()`` free functions, and all listed ``ranges::`` algorithms (``find``/``count``/``search_n``/``replace``/``replace_if``/``replace_copy``/``replace_copy_if``/``fill``/``fill_n``/``remove``/``remove_copy``/``lower_bound``/``upper_bound``/``equal_range``/``binary_search``/``contains``/``fold_left``/``fold_left_with_iter``). ``ranges::fold_right`` is the one ``[alg.fold]`` site the paper also lists, but it is not implemented in this fork at all -- a separate, pre-existing gap from P2322R6, not something this paper's diff can apply to. ``__cpp_lib_default_template_type_for_algorithm_values`` is defined (202403L). See ``docs/CXX26_GAPS.md`` Tier 6."
"`P2810R4 <https://wg21.link/P2810R4>`__","``is_debugger_present`` ``is_replaceable``","2024-03 (Tokyo)","|Complete|","","`#105422 <https://github.com/llvm/llvm-project/issues/105422>`__",""
"`P1068R11 <https://wg21.link/P1068R11>`__","Vector API for random number generation","2024-03 (Tokyo)","|Complete|","","`#105423 <https://github.com/llvm/llvm-project/issues/105423>`__",""
"`P2944R3 <https://wg21.link/P2944R3>`__","Comparisons for ``reference_wrapper``","2024-03 (Tokyo)","|Complete|","22","`#105424 <https://github.com/llvm/llvm-project/issues/105424>`__","The changes to ``tuple``'s equality overload from P2165R4 are not yet implemented."
"`P2642R6 <https://wg21.link/P2642R6>`__","Padded ``mdspan`` layouts","2024-03 (Tokyo)","","","`#105425 <https://github.com/llvm/llvm-project/issues/105425>`__",""
"`P3029R1 <https://wg21.link/P3029R1>`__","Better ``mdspan``'s CTAD","2024-03 (Tokyo)","|Complete|","19","`#105426 <https://github.com/llvm/llvm-project/issues/105426>`__",""
"","","","","","",""
"`P2747R2 <https://wg21.link/P2747R2>`__","``constexpr`` placement new","2024-06 (St. Louis)","|Complete|","20","`#105427 <https://github.com/llvm/llvm-project/issues/105427>`__",""
"`P2997R1 <https://wg21.link/P2997R1>`__","Removing the common reference requirement from the indirectly invocable concepts","2024-06 (St. Louis)","|Complete|","19","`#105428 <https://github.com/llvm/llvm-project/issues/105428>`__","Implemented as a DR against C++20. (MSVC STL and libstdc++ will do the same.)"
"`P2389R2 <https://wg21.link/P2389R2>`__","``dextents`` Index Type Parameter","2024-06 (St. Louis)","|Complete|","19","`#105429 <https://github.com/llvm/llvm-project/issues/105429>`__",""
"`P3168R2 <https://wg21.link/P3168R2>`__","Give ``std::optional`` Range Support","2024-06 (St. Louis)","|Complete|","22","`#105430 <https://github.com/llvm/llvm-project/issues/105430>`__",""
"`P3217R0 <https://wg21.link/P3217R0>`__","Adjoints to 'Enabling list-initialization for algorithms': find_last","2024-06 (St. Louis)","|Complete|","","`#105431 <https://github.com/llvm/llvm-project/issues/105431>`__","``ranges::find_last``'s value-type parameter now defaults to ``projected_value_t<I, Proj>``, matching the corrected specification. ``ranges::find_last_if``/``find_last_if_not`` take a predicate rather than a value, so neither needed this treatment."
"`P2985R0 <https://wg21.link/P2985R0>`__","A type trait for detecting virtual base classes","2024-06 (St. Louis)","|Complete|","20","`#105432 <https://github.com/llvm/llvm-project/issues/105432>`__",""
"`P0843R14 <https://wg21.link/P0843R14>`__","``inplace_vector``","2024-06 (St. Louis)","|Complete|","","`#105433 <https://github.com/llvm/llvm-project/issues/105433>`__",""
"`P3235R3 <https://wg21.link/P3235R3>`__","``std::print`` more types faster with less memory","2024-06 (St. Louis)","","","`#105435 <https://github.com/llvm/llvm-project/issues/105435>`__",""
"`P2968R2 <https://wg21.link/P2968R2>`__","Make ``std::ignore`` a first-class object","2024-06 (St. Louis)","|Complete|","19","`#105436 <https://github.com/llvm/llvm-project/issues/105436>`__",""
"`P2075R6 <https://wg21.link/P2075R6>`__","Philox as an extension of the C++ RNG engines","2024-06 (St. Louis)","","","`#105437 <https://github.com/llvm/llvm-project/issues/105437>`__",""
"`P2422R1 <https://wg21.link/P2422R1>`__","Remove ``nodiscard`` annotations from the standard library specification","2024-06 (St. Louis)","|Complete|","19","`#105438 <https://github.com/llvm/llvm-project/issues/105438>`__","``nodiscard`` attributes were kept as a conforming extension"
"`P2300R10 <https://wg21.link/P2300R10>`__","``std::execution``","2024-06 (St. Louis)","|Complete|","","`#105440 <https://github.com/llvm/llvm-project/issues/105440>`__",""
"","","","","","",""
"`P3136R1 <https://wg21.link/P3136R1>`__","Retiring niebloids","2024-11 (Wrocław)","|Complete|","14","`#118133 <https://github.com/llvm/llvm-project/issues/118133>`__",""
"`P3138R5 <https://wg21.link/P3138R5>`__","``views::cache_latest``","2024-11 (Wrocław)","|Complete|","","`#118134 <https://github.com/llvm/llvm-project/issues/118134>`__",""
"`P3379R0 <https://wg21.link/P3379R0>`__","Constrain ``std::expected`` equality operators","2024-11 (Wrocław)","|Complete|","21","`#118135 <https://github.com/llvm/llvm-project/issues/118135>`__",""
"`P2862R1 <https://wg21.link/P2862R1>`__","``text_encoding::name()`` should never return null values","2024-11 (Wrocław)","|Complete|","","`#118371 <https://github.com/llvm/llvm-project/issues/118371>`__",""
"`P2897R7 <https://wg21.link/P2897R7>`__","``aligned_accessor``: An ``mdspan`` accessor expressing pointer over-alignment","2024-11 (Wrocław)","|Complete|","21","`#118372 <https://github.com/llvm/llvm-project/issues/118372>`__",""
"`P3355R2 <https://wg21.link/P3355R2>`__","Fix ``submdspan`` for C++26","2024-11 (Wrocław)","","","`#118373 <https://github.com/llvm/llvm-project/issues/118373>`__",""
"`P3222R0 <https://wg21.link/P3222R0>`__","Fix C++26 by adding transposed special cases for P2642 layouts","2024-11 (Wrocław)","","","`#118374 <https://github.com/llvm/llvm-project/issues/118374>`__",""
"`P3050R2 <https://wg21.link/P3050R2>`__","Fix C++26 by optimizing ``linalg::conjugated`` for noncomplex value types","2024-11 (Wrocław)","|Complete|","","`#118375 <https://github.com/llvm/llvm-project/issues/118375>`__",""
"`P3396R1 <https://wg21.link/P3396R1>`__","``std::execution`` wording fixes","2024-11 (Wrocław)","|Complete|","","`#118376 <https://github.com/llvm/llvm-project/issues/118376>`__",""
"`P2835R7 <https://wg21.link/P2835R7>`__","Expose ``std::atomic_ref``'s object address","2024-11 (Wrocław)","|Complete|","22","`#118377 <https://github.com/llvm/llvm-project/issues/118377>`__",""
"`P3323R1 <https://wg21.link/P3323R1>`__","cv-qualified types in ``atomic`` and ``atomic_ref``","2024-11 (Wrocław)","|Complete|","","`#118378 <https://github.com/llvm/llvm-project/issues/118378>`__",""
"`P3508R0 <https://wg21.link/P3508R0>`__","Wording for ""constexpr for specialized memory algorithms""","2024-11 (Wrocław)","|Complete|","","`#118379 <https://github.com/llvm/llvm-project/issues/118379>`__",""
"`P3369R0 <https://wg21.link/P3369R0>`__","constexpr for ``uninitialized_default_construct``","2024-11 (Wrocław)","|Complete|","","`#118380 <https://github.com/llvm/llvm-project/issues/118380>`__",""
"`P3370R1 <https://wg21.link/P3370R1>`__","Add new library headers from C23","2024-11 (Wrocław)","|Complete|","","`#118381 <https://github.com/llvm/llvm-project/issues/118381>`__",""
"`P3309R3 <https://wg21.link/P3309R3>`__","constexpr ``atomic`` and ``atomic_ref``","2024-11 (Wrocław)","|Partial|","","`#118382 <https://github.com/llvm/llvm-project/issues/118382>`__","``atomic<T>`` constexpr is scoped to scalar ``T`` (class-typed ``T`` needs a clang-side constexpr extension for ``__c11_atomic_load``/etc. on class-typed ``_Atomic`` that this compiler doesn't have); ``atomic_ref<T>`` store/load/exchange work for any trivially copyable ``T``. ``atomic_flag`` is entirely out of scope (making the shared wait/notify templates constexpr breaks its declaration-order-dependent trait specialization). See ``docs/CXX26_GAPS.md`` Tier 4 for the full writeup."
